model,data_path,custom_params,mse,mae,acc,smape,f_score,crps,mre,pinaw,setting,seed,task_name,is_training,model_id,data,features,target,freq,lag,scaler,reindex,reindex_tolerance,pin_memory,seq_len,label_len,pred_len,seasonal_patterns,inverse,mask_rate,anomaly_ratio,expand,d_conv,top_k,num_kernels,enc_in,dec_in,c_out,d_model,n_heads,e_layers,d_layers,d_ff,moving_avg,series_decomp_mode,factor,distil,dropout,embed,activation,output_attention,channel_independence,decomp_method,use_norm,down_sampling_layers,down_sampling_window,down_sampling_method,seg_len,num_workers,train_epochs,stop_epochs,batch_size,patience,learning_rate,des,loss,lradj,use_amp,use_gpu,gpu,use_multi_gpu,devices,p_hidden_dims,p_hidden_layers,use_dtw,augmentation_ratio,jitter,scaling,permutation,randompermutation,magwarp,timewarp,windowslice,windowwarp,rotation,spawner,dtwwarp,shapedtwwarp,wdba,discdtw,discsdtw,extra_tag,lstm_hidden_size,lstm_layers,num_spline,sample_times,run_time
Transformer,electricity/electricity.csv,,0.0049616387,0.056438215,,,,,,,long_term_forecast_OT_96_16_Transformer_custom_ftMS_sl96_ll16_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-16 16-23-01,2021,long_term_forecast,1,OT_96_16,custom,MS,OT,t,0,MinMaxScaler,0,0.8,,96,16,16,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,512,8,1,1,2048,25,avg,1,True,0.1,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,10,7,256,3,5e-05,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2024-04-16 16-23-01
Transformer,exchange_rate/exchange_rate.csv,,0.0073289378,0.070555076,,,,,,,long_term_forecast_OT_96_16_Transformer_custom_ftMS_sl96_ll16_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-16 16-28-00,2021,long_term_forecast,1,OT_96_16,custom,MS,OT,t,0,MinMaxScaler,0,0.9,,96,16,16,Monthly,False,0.25,0.25,2,4,5,6,8,8,8,512,8,1,1,2048,25,avg,1,True,0.1,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,10,8,256,3,5e-05,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2024-04-16 16-28-00
Transformer,weather/weather.csv,,0.00078292773,0.02219144,,,,,,,long_term_forecast_OT_96_16_Transformer_custom_ftMS_sl96_ll16_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-16 16-31-20,2021,long_term_forecast,1,OT_96_16,custom,MS,OT,t,0,MinMaxScaler,0,0.9,,96,16,16,Monthly,False,0.25,0.25,2,4,5,6,21,21,21,512,8,1,1,2048,25,avg,1,True,0.1,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,10,4,256,3,5e-05,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2024-04-16 16-31-20
Informer,electricity/electricity.csv,,0.005548365,0.06084172,,,,,,,long_term_forecast_OT_96_16_Informer_custom_ftMS_sl96_ll16_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-16 16-36-09,2021,long_term_forecast,1,OT_96_16,custom,MS,OT,t,0,MinMaxScaler,0,0.8,,96,16,16,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,512,8,1,1,2048,25,avg,1,True,0.1,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,10,0,256,3,5e-05,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2024-04-16 16-36-09
Informer,exchange_rate/exchange_rate.csv,,0.020421142,0.120350674,,,,,,,long_term_forecast_OT_96_16_Informer_custom_ftMS_sl96_ll16_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-16 16-41-54,2021,long_term_forecast,1,OT_96_16,custom,MS,OT,t,0,MinMaxScaler,0,0.9,,96,16,16,Monthly,False,0.25,0.25,2,4,5,6,8,8,8,512,8,1,1,2048,25,avg,1,True,0.1,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,10,6,256,3,5e-05,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2024-04-16 16-41-54
Informer,weather/weather.csv,,0.00052466476,0.020721663,,,,,,,long_term_forecast_OT_96_16_Informer_custom_ftMS_sl96_ll16_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-16 16-45-05,2021,long_term_forecast,1,OT_96_16,custom,MS,OT,t,0,MinMaxScaler,0,0.9,,96,16,16,Monthly,False,0.25,0.25,2,4,5,6,21,21,21,512,8,1,1,2048,25,avg,1,True,0.1,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,10,9,256,3,5e-05,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2024-04-16 16-45-05
Reformer,electricity/electricity.csv,,0.006228433,0.06382573,,,,,,,long_term_forecast_OT_96_16_Reformer_custom_ftMS_sl96_ll16_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-16 16-52-05,2021,long_term_forecast,1,OT_96_16,custom,MS,OT,t,0,MinMaxScaler,0,0.8,,96,16,16,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,512,8,1,1,2048,25,avg,1,True,0.1,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,10,8,256,3,5e-05,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2024-04-16 16-52-05
Reformer,exchange_rate/exchange_rate.csv,,0.025284529,0.13257632,,,,,,,long_term_forecast_OT_96_16_Reformer_custom_ftMS_sl96_ll16_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-16 16-57-47,2021,long_term_forecast,1,OT_96_16,custom,MS,OT,t,0,MinMaxScaler,0,0.9,,96,16,16,Monthly,False,0.25,0.25,2,4,5,6,8,8,8,512,8,1,1,2048,25,avg,1,True,0.1,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,10,4,256,3,5e-05,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2024-04-16 16-57-47
Reformer,weather/weather.csv,,0.0005390173,0.020872543,,,,,,,long_term_forecast_OT_96_16_Reformer_custom_ftMS_sl96_ll16_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-16 17-01-00,2021,long_term_forecast,1,OT_96_16,custom,MS,OT,t,0,MinMaxScaler,0,0.9,,96,16,16,Monthly,False,0.25,0.25,2,4,5,6,21,21,21,512,8,1,1,2048,25,avg,1,True,0.1,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,10,0,256,3,5e-05,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2024-04-16 17-01-00
Autoformer,electricity/electricity.csv,,0.0059346156,0.06089128,,,,,,,long_term_forecast_OT_96_16_Autoformer_custom_ftMS_sl96_ll16_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-16 17-09-55,2021,long_term_forecast,1,OT_96_16,custom,MS,OT,t,0,MinMaxScaler,0,0.8,,96,16,16,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,512,8,1,1,2048,25,avg,1,True,0.1,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,10,10,256,3,5e-05,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,512,1,20,99,2024-04-16 17-09-55
