model,data_path,custom_params,mse,mae,acc,smape,f_score,crps,mre,pinaw,setting,seed,task_name,is_training,model_id,data,features,target,freq,lag,scaler,reindex,reindex_tolerance,pin_memory,seq_len,label_len,pred_len,seasonal_patterns,inverse,mask_rate,anomaly_ratio,expand,d_conv,top_k,num_kernels,enc_in,dec_in,c_out,d_model,n_heads,e_layers,d_layers,d_ff,moving_avg,series_decomp_mode,factor,distil,dropout,embed,activation,output_attention,channel_independence,decomp_method,use_norm,down_sampling_layers,down_sampling_window,down_sampling_method,seg_len,num_workers,train_epochs,stop_epochs,batch_size,patience,learning_rate,des,loss,lradj,use_amp,use_gpu,gpu,use_multi_gpu,devices,p_hidden_dims,p_hidden_layers,use_dtw,augmentation_ratio,jitter,scaling,permutation,randompermutation,magwarp,timewarp,windowslice,windowwarp,rotation,spawner,dtwwarp,shapedtwwarp,wdba,discdtw,discsdtw,extra_tag,lstm_hidden_size,lstm_layers,num_spline,sample_times,run_time
LSTM-AQ,pvod/station00.csv,AA_attn,0.11501279,0.2611803,,,,0.1797083467245102,0.10415319353342056,0.45484602451324463,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll0_pl16_dm40_nh1_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-13 20-02-22,2021,probability_forecast,1,OT_96_16,custom,MS,power,t,3,MinMaxScaler,0,0.9,,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,40,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,9,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-04-13 20-02-22
LSTM-AQ,pvod/station00.csv,AA_attn_norm,0.012321655,0.07030198,,,,0.059595610946416855,0.2386702299118042,0.09150116890668869,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll0_pl16_dm40_nh1_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-13 20-08-23,2021,probability_forecast,1,OT_96_16,custom,MS,power,t,3,MinMaxScaler,0,0.9,,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,40,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,20,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-04-13 20-08-23
LSTM-AQ,pvod/station00.csv,AA_attn_dhs,0.114969306,0.26095092,,,,0.17965146899223328,0.10441836714744568,0.4521917700767517,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll0_pl16_dm40_nh1_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-13 20-17-11,2021,probability_forecast,1,OT_96_16,custom,MS,power,t,3,MinMaxScaler,0,0.9,,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,40,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,9,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-04-13 20-17-11
LSTM-AQ,pvod/station00.csv,AA_attn_dhs_norm,0.032514267,0.1305333,,,,0.11317946016788483,0.3580164313316345,0.1464827060699463,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll0_pl16_dm40_nh1_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-13 20-23-15,2021,probability_forecast,1,OT_96_16,custom,MS,power,t,3,MinMaxScaler,0,0.9,,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,40,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,16,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-04-13 20-23-15
LSTM-AQ,pvod/station00.csv,AA_attn_ap,0.0051400457,0.03741986,,,,0.030422268435359,0.06902287900447845,0.08443564921617508,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll0_pl16_dm40_nh1_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-13 20-31-20,2021,probability_forecast,1,OT_96_16,custom,MS,power,t,3,MinMaxScaler,0,0.9,,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,40,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,15,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-04-13 20-31-20
LSTM-AQ,pvod/station00.csv,AA_attn_ap_norm,0.072569296,0.1503253,,,,0.14272478222846985,0.13034062087535858,0.023887459188699722,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll0_pl16_dm40_nh1_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-13 20-38-54,2021,probability_forecast,1,OT_96_16,custom,MS,power,t,3,MinMaxScaler,0,0.9,,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,40,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,21,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-04-13 20-38-54
LSTM-AQ,pvod/station00.csv,AA_attn_ap_dhs,0.1180996,0.25877103,,,,0.18296292424201965,0.13250936567783356,0.4542608857154846,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll0_pl16_dm40_nh1_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-13 20-48-20,2021,probability_forecast,1,OT_96_16,custom,MS,power,t,3,MinMaxScaler,0,0.9,,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,40,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,2,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-04-13 20-48-20
LSTM-AQ,pvod/station00.csv,AA_attn_ap_dhs_norm,0.0058844136,0.042406138,,,,0.032557226717472076,0.05156074836850166,0.0814165398478508,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll0_pl16_dm40_nh1_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-13 20-52-22,2021,probability_forecast,1,OT_96_16,custom,MS,power,t,3,MinMaxScaler,0,0.9,,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,40,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,13,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-04-13 20-52-22
LSTM-AQ,pvod/station00.csv,AA_attn_dhd1,0.04982042,0.12903084,,,,0.09657059609889984,0.11611023545265198,0.516993522644043,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll0_pl16_dm40_nh1_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-13 20-59-25,2021,probability_forecast,1,OT_96_16,custom,MS,power,t,3,MinMaxScaler,0,0.9,,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,40,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,12,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-04-13 20-59-25
LSTM-AQ,pvod/station00.csv,AA_attn_dhd1_norm,0.017053032,0.06248021,,,,0.04608261585235596,0.11234229803085327,0.1214987114071846,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll0_pl16_dm40_nh1_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-13 21-06-06,2021,probability_forecast,1,OT_96_16,custom,MS,power,t,3,MinMaxScaler,0,0.9,,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,40,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,13,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-04-13 21-06-06
