model,data_path,custom_params,mse,mae,acc,smape,f_score,crps,mre,pinaw,setting,seed,task_name,is_training,model_id,data,features,target,freq,lag,checkpoints,scaler,reindex,reindex_tolerance,pin_memory,seq_len,label_len,pred_len,seasonal_patterns,inverse,mask_rate,anomaly_ratio,top_k,num_kernels,enc_in,dec_in,c_out,d_model,n_heads,e_layers,d_layers,d_ff,moving_avg,series_decomp_mode,factor,distil,dropout,embed,activation,output_attention,channel_independence,num_workers,train_epochs,stop_epochs,batch_size,patience,learning_rate,des,loss,lradj,use_amp,use_gpu,gpu,use_multi_gpu,devices,p_hidden_dims,p_hidden_layers,lstm_hidden_size,lstm_layers,num_spline,sample_times,run_time
LSTM-AQ2,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0013417278,0.027718956,,,,0.1369493156671524,0.21961091458797455,1.5668003559112549,probability_forecast_OT_96_16_LSTM-AQ2_custom_ftMS_sl96_ll1_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-06-14 13-59-12,2021,probability_forecast,1,OT_96_16,custom,MS,OT,t,3,./checkpoints/,MinMaxScaler,0,0.8,False,96,0,16,Monthly,False,0.25,0.25,5,6,321,321,321,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,12,50,23,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,512,1,20,99,2024-06-14 13-59-12
LSTM-AQ2,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0014886255,0.02923491,,,,0.13960757851600647,0.2194567173719406,1.5959413051605225,probability_forecast_OT_96_32_LSTM-AQ2_custom_ftMS_sl96_ll1_pl32_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-06-14 14-12-57,2021,probability_forecast,1,OT_96_32,custom,MS,OT,t,3,./checkpoints/,MinMaxScaler,0,0.8,False,96,0,32,Monthly,False,0.25,0.25,5,6,321,321,321,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,12,50,23,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,512,1,20,99,2024-06-14 14-12-57
LSTM-AQ2,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.001320932,0.027377179,,,,0.13865017890930176,0.2208871841430664,1.5853397846221924,probability_forecast_OT_96_64_LSTM-AQ2_custom_ftMS_sl96_ll1_pl64_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-06-14 14-33-45,2021,probability_forecast,1,OT_96_64,custom,MS,OT,t,3,./checkpoints/,MinMaxScaler,0,0.8,False,96,0,64,Monthly,False,0.25,0.25,5,6,321,321,321,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,12,50,31,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,512,1,20,99,2024-06-14 14-33-45
LSTM-AQ2,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0015887592,0.030399779,,,,0.13694365322589874,0.21646741032600403,1.5684341192245483,probability_forecast_OT_96_96_LSTM-AQ2_custom_ftMS_sl96_ll1_pl96_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-06-14 15-17-50,2021,probability_forecast,1,OT_96_96,custom,MS,OT,t,3,./checkpoints/,MinMaxScaler,0,0.8,False,96,0,96,Monthly,False,0.25,0.25,5,6,321,321,321,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,12,50,16,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,512,1,20,99,2024-06-14 15-17-50
LSTM-AQ2,exchange_rate/exchange_rate.csv,AA_attn_dhz_ap1_norm,0.15576856,0.35484987,,,,0.24233224987983704,0.3184339106082916,1.0503621101379395,probability_forecast_OT_96_16_LSTM-AQ2_custom_ftMS_sl96_ll1_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-06-14 16-19-51,2021,probability_forecast,1,OT_96_16,custom,MS,OT,t,3,./checkpoints/,MinMaxScaler,0,0.9,False,96,0,16,Monthly,False,0.25,0.25,5,6,8,8,8,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,12,50,5,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,512,1,20,99,2024-06-14 16-19-51
LSTM-AQ2,exchange_rate/exchange_rate.csv,AA_attn_dhz_ap1_norm,0.19344422,0.4039797,,,,0.27892279624938965,0.37214356660842896,0.9678062796592712,probability_forecast_OT_96_32_LSTM-AQ2_custom_ftMS_sl96_ll1_pl32_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-06-14 16-23-06,2021,probability_forecast,1,OT_96_32,custom,MS,OT,t,3,./checkpoints/,MinMaxScaler,0,0.9,False,96,0,32,Monthly,False,0.25,0.25,5,6,8,8,8,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,12,50,4,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,512,1,20,99,2024-06-14 16-23-06
LSTM-AQ2,exchange_rate/exchange_rate.csv,AA_attn_dhz_ap1_norm,0.18526983,0.39346945,,,,0.27216410636901855,0.3722463548183441,0.9162906408309937,probability_forecast_OT_96_64_LSTM-AQ2_custom_ftMS_sl96_ll1_pl64_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-06-14 16-26-57,2021,probability_forecast,1,OT_96_64,custom,MS,OT,t,3,./checkpoints/,MinMaxScaler,0,0.9,False,96,0,64,Monthly,False,0.25,0.25,5,6,8,8,8,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,12,50,5,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,512,1,20,99,2024-06-14 16-26-57
LSTM-AQ2,exchange_rate/exchange_rate.csv,AA_attn_dhz_ap1_norm,0.0056686467,0.062915176,,,,0.16519896686077118,0.223525732755661,1.8079869747161865,probability_forecast_OT_96_96_LSTM-AQ2_custom_ftMS_sl96_ll1_pl96_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-06-14 16-32-39,2021,probability_forecast,1,OT_96_96,custom,MS,OT,t,3,./checkpoints/,MinMaxScaler,0,0.9,False,96,0,96,Monthly,False,0.25,0.25,5,6,8,8,8,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,12,50,20,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,512,1,20,99,2024-06-14 16-32-39
LSTM-AQ2,traffic/traffic.csv,AA_attn_dhz_ap1_norm,0.0025355539,0.028929237,,,,0.05524033308029175,0.21240611374378204,0.5552685260772705,probability_forecast_OT_96_16_LSTM-AQ2_custom_ftMS_sl96_ll0_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-06-14 17-17-15,2021,probability_forecast,1,OT_96_16,custom,MS,OT,t,3,./checkpoints/,MinMaxScaler,0,0.9,False,96,0,16,Monthly,False,0.25,0.25,5,6,862,862,862,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,12,50,13,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,512,1,20,99,2024-06-14 17-17-15
LSTM-AQ2,traffic/traffic.csv,AA_attn_dhz_ap1_norm,0.002946761,0.03332475,,,,0.05683112144470215,0.21527953445911407,0.5526546835899353,probability_forecast_OT_96_32_LSTM-AQ2_custom_ftMS_sl96_ll0_pl32_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-06-14 17-25-17,2021,probability_forecast,1,OT_96_32,custom,MS,OT,t,3,./checkpoints/,MinMaxScaler,0,0.9,False,96,0,32,Monthly,False,0.25,0.25,5,6,862,862,862,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,12,50,17,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,512,1,20,99,2024-06-14 17-25-17
