model,data_path,custom_params,mse,mae,acc,smape,f_score,crps,mre,naps,picp,pinaw,cwc,setting,seed,task_name,is_training,model_id,data,features,target,freq,lag,scaler,reindex,reindex_tolerance,pin_memory,seq_len,label_len,pred_len,seasonal_patterns,inverse,mask_rate,anomaly_ratio,expand,d_conv,top_k,num_kernels,enc_in,dec_in,c_out,d_model,n_heads,e_layers,d_layers,d_ff,moving_avg,series_decomp_mode,factor,distil,dropout,embed,activation,output_attention,channel_independence,decomp_method,use_norm,down_sampling_layers,down_sampling_window,down_sampling_method,seg_len,num_workers,train_epochs,stop_epochs,batch_size,patience,learning_rate,des,loss,lradj,use_amp,use_gpu,gpu,use_multi_gpu,devices,p_hidden_dims,p_hidden_layers,use_dtw,augmentation_ratio,jitter,scaling,permutation,randompermutation,magwarp,timewarp,windowslice,windowwarp,rotation,spawner,dtwwarp,shapedtwwarp,wdba,discdtw,discsdtw,extra_tag,lstm_hidden_size,lstm_layers,num_spline,sample_times,run_time
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm_label1,0.0014123358,0.028454905,,,,0.02318398281931877,0.06844931840896606,0.10814176499843597,0.8989914655685425,0.11637765914201736,0.794369101524353,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll0_pl16_dm24_nh1_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-08-23 19-34-20,2021,probability_forecast,1,OT_96_16,custom,MS,OT,t,3,MinMaxScaler,0,0.8,False,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,1,moving_avg,1,0,1,,48,12,50,12,256,3,0.001,Exp,auto,type1,False,False,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,3,20,99,2024-08-23 19-34-20
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm_label1,0.0013391436,0.027086306,,,,0.021330785006284714,0.08844315260648727,0.09091228991746902,0.8989924192428589,0.09708834439516068,0.8117107152938843,probability_forecast_OT_96_32_LSTM-AQ_custom_ftMS_sl96_ll0_pl32_dm24_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-08-23 19-42-38,2021,probability_forecast,1,OT_96_32,custom,MS,OT,t,3,MinMaxScaler,0,0.8,False,96,0,32,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,1,moving_avg,1,0,1,,48,12,50,21,256,3,0.001,Exp,auto,type1,False,False,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,3,20,99,2024-08-23 19-42-38
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm_label1,0.0014479476,0.028537786,,,,0.02332163043320179,0.10903994739055634,0.11486510187387466,0.8989923000335693,0.12009257823228836,0.7910299897193909,probability_forecast_OT_96_64_LSTM-AQ_custom_ftMS_sl96_ll0_pl64_dm40_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-08-23 20-02-38,2021,probability_forecast,1,OT_96_64,custom,MS,OT,t,3,MinMaxScaler,0,0.8,False,96,0,64,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,40,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,1,moving_avg,1,0,1,,48,12,50,13,256,3,0.001,Exp,auto,type1,False,False,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-08-23 20-02-38
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm_label1,0.0012622759,0.026419975,,,,0.020956533029675484,0.06527099013328552,0.08683908730745316,0.898992121219635,0.09469223022460938,0.8138646483421326,probability_forecast_OT_96_96_LSTM-AQ_custom_ftMS_sl96_ll0_pl96_dm24_nh4_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-08-23 20-21-57,2021,probability_forecast,1,OT_96_96,custom,MS,OT,t,3,MinMaxScaler,0,0.8,False,96,0,96,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,4,1,1,2048,25,avg,1,True,0,timeF,gelu,False,1,moving_avg,1,0,1,,48,12,50,23,256,3,0.001,Exp,auto,type1,False,False,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-08-23 20-21-57
LSTM-AQ,traffic/traffic.csv,AA_attn_dhz_ap1_norm_label1,0.0027360884,0.029746165,,,,0.02530086040496826,0.19020532071590424,0.052230071276426315,0.8989915251731873,0.1493050456047058,0.7647676467895508,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll0_pl16_dm40_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-08-23 21-04-53,2021,probability_forecast,1,OT_96_16,custom,MS,OT,t,3,MinMaxScaler,0,0.9,False,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,862,862,862,40,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,1,moving_avg,1,0,1,,48,12,50,12,256,3,0.001,Exp,auto,type1,False,False,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,64,2,20,99,2024-08-23 21-04-53
LSTM-AQ,traffic/traffic.csv,AA_attn_dhz_ap1_norm_label1,0.0027787972,0.03048967,,,,0.02604036219418049,0.2376338243484497,0.04981975629925728,0.8989918231964111,0.14846594631671906,0.7655221223831177,probability_forecast_OT_96_32_LSTM-AQ_custom_ftMS_sl96_ll0_pl32_dm40_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-08-23 21-11-42,2021,probability_forecast,1,OT_96_32,custom,MS,OT,t,3,MinMaxScaler,0,0.9,False,96,0,32,Monthly,False,0.25,0.25,2,4,5,6,862,862,862,40,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,1,moving_avg,1,0,1,,48,12,50,12,256,3,0.001,Exp,auto,type1,False,False,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,64,2,20,99,2024-08-23 21-11-42
LSTM-AQ,traffic/traffic.csv,AA_attn_dhz_ap1_norm_label1,0.0029418818,0.031036291,,,,0.027059679850935936,0.20182669162750244,0.05047082528471947,0.8989906311035156,0.1516598016023636,0.7626498341560364,probability_forecast_OT_96_64_LSTM-AQ_custom_ftMS_sl96_ll0_pl64_dm64_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-08-23 21-21-23,2021,probability_forecast,1,OT_96_64,custom,MS,OT,t,3,MinMaxScaler,0,0.9,False,96,0,64,Monthly,False,0.25,0.25,2,4,5,6,862,862,862,64,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,1,moving_avg,1,0,1,,48,12,50,17,256,3,0.001,Exp,auto,type1,False,False,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,3,20,99,2024-08-23 21-21-23
LSTM-AQ,traffic/traffic.csv,AA_attn_dhz_ap1_norm_label1,0.0030572526,0.032559846,,,,0.02827749215066433,0.254525750875473,0.04898518696427345,0.8989908695220947,0.14986354112625122,0.7642648816108704,probability_forecast_OT_96_96_LSTM-AQ_custom_ftMS_sl96_ll0_pl96_dm40_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-08-23 21-43-04,2021,probability_forecast,1,OT_96_96,custom,MS,OT,t,3,MinMaxScaler,0,0.9,False,96,0,96,Monthly,False,0.25,0.25,2,4,5,6,862,862,862,40,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,1,moving_avg,1,0,1,,48,12,50,12,256,3,0.001,Exp,auto,type1,False,False,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,64,2,20,99,2024-08-23 21-43-04

LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm_label1,0.0012154527,0.02571618,,,,0.02028764598071575,0.07366343587636948,0.08055104315280914,0.8989925384521484,0.08835634589195251,0.8195608258247375,probability_forecast_OT_96_96_LSTM-AQ_custom_ftMS_sl96_ll0_pl96_dm24_nh4_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-08-24 21-08-11,2021,probability_forecast,1,OT_96_96,custom,MS,OT,t,3,MinMaxScaler,0,0.8,False,96,0,96,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,4,1,1,2048,25,avg,1,True,0,timeF,gelu,False,1,moving_avg,1,0,1,,48,12,50,30,256,3,0.001,Exp,auto,type1,False,False,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-08-24 21-08-11
