model,data_path,custom_params,mse,mae,acc,smape,f_score,crps,mre,naps,setting,seed,task_name,is_training,model_id,data,features,target,freq,lag,scaler,reindex,reindex_tolerance,pin_memory,seq_len,label_len,pred_len,seasonal_patterns,inverse,mask_rate,anomaly_ratio,expand,d_conv,top_k,num_kernels,enc_in,dec_in,c_out,d_model,n_heads,e_layers,d_layers,d_ff,moving_avg,series_decomp_mode,factor,distil,dropout,embed,activation,output_attention,channel_independence,decomp_method,use_norm,down_sampling_layers,down_sampling_window,down_sampling_method,seg_len,num_workers,train_epochs,stop_epochs,batch_size,patience,learning_rate,des,loss,lradj,use_amp,use_gpu,gpu,use_multi_gpu,devices,p_hidden_dims,p_hidden_layers,use_dtw,augmentation_ratio,jitter,scaling,permutation,randompermutation,magwarp,timewarp,windowslice,windowwarp,rotation,spawner,dtwwarp,shapedtwwarp,wdba,discdtw,discsdtw,extra_tag,lstm_hidden_size,lstm_layers,num_spline,sample_times,run_time
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0020024197,0.03424894,,,,0.02429959923028946,0.08819515258073807,0.11779062449932098,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll1_pl16_dm24_nh1_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-25 20-07-02,2021,probability_forecast,1,OT_96_16,custom,MS,OT,t,3,MinMaxScaler,0,0.8,False,96,1,16,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,1,moving_avg,1,0,1,,48,12,50,12,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,3,20,99,2024-06-25 20-07-02
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap2_norm,0.0013738198,0.02790376,,,,0.022832656279206276,0.1531037837266922,0.0939129963517189,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll1_pl16_dm24_nh1_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-25 20-17-12,2021,probability_forecast,1,OT_96_16,custom,MS,OT,t,3,MinMaxScaler,0,0.8,False,96,1,16,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,1,moving_avg,1,0,1,,48,12,50,24,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,3,20,99,2024-06-25 20-17-12
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0013961116,0.028621718,,,,0.022702423855662346,0.13822823762893677,0.09886152297258377,probability_forecast_OT_96_32_LSTM-AQ_custom_ftMS_sl96_ll1_pl32_dm24_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-25 20-45-19,2021,probability_forecast,1,OT_96_32,custom,MS,OT,t,3,MinMaxScaler,0,0.8,False,96,1,32,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,1,moving_avg,1,0,1,,48,12,50,16,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,3,20,99,2024-06-25 20-45-19
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap2_norm,0.001591929,0.030688917,,,,0.020743824541568756,0.07206549495458603,0.08542293310165405,probability_forecast_OT_96_32_LSTM-AQ_custom_ftMS_sl96_ll1_pl32_dm24_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-25 21-00-22,2021,probability_forecast,1,OT_96_32,custom,MS,OT,t,3,MinMaxScaler,0,0.8,False,96,1,32,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,1,moving_avg,1,0,1,,48,12,50,24,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,3,20,99,2024-06-25 21-00-22
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0019193531,0.034627773,,,,0.022900152951478958,0.07378347218036652,0.10735967755317688,probability_forecast_OT_96_64_LSTM-AQ_custom_ftMS_sl96_ll1_pl64_dm40_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-25 21-20-35,2021,probability_forecast,1,OT_96_64,custom,MS,OT,t,3,MinMaxScaler,0,0.8,False,96,1,64,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,40,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,1,moving_avg,1,0,1,,48,12,50,14,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-06-25 21-20-35
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap2_norm,0.006130093,0.057787012,,,,0.04365774989128113,0.11468859761953354,0.12400667369365692,probability_forecast_OT_96_64_LSTM-AQ_custom_ftMS_sl96_ll1_pl64_dm40_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-25 21-40-45,2021,probability_forecast,1,OT_96_64,custom,MS,OT,t,3,MinMaxScaler,0,0.8,False,96,1,64,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,40,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,1,moving_avg,1,0,1,,48,12,50,13,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-06-25 21-40-45
LSTM-AQ,exchange_rate/exchange_rate.csv,AA_attn_dhz_ap1_norm,0.016004177,0.11590864,,,,0.044706787914037704,0.3068462312221527,0.2483215481042862,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll1_pl16_dm64_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-25 21-59-45,2021,probability_forecast,1,OT_96_16,custom,MS,OT,t,3,MinMaxScaler,0,0.9,False,96,1,16,Monthly,False,0.25,0.25,2,4,5,6,8,8,8,64,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,1,moving_avg,1,0,1,,48,12,50,23,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-06-25 21-59-45
LSTM-AQ,exchange_rate/exchange_rate.csv,AA_attn_dhz_ap2_norm,0.10649005,0.2872551,,,,0.18917573988437653,0.34379372000694275,0.6466056108474731,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll1_pl16_dm64_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-25 22-04-31,2021,probability_forecast,1,OT_96_16,custom,MS,OT,t,3,MinMaxScaler,0,0.9,False,96,1,16,Monthly,False,0.25,0.25,2,4,5,6,8,8,8,64,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,1,moving_avg,1,0,1,,48,12,50,8,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-06-25 22-04-31
LSTM-AQ,exchange_rate/exchange_rate.csv,AA_attn_dhz_ap1_norm,0.07313654,0.23577008,,,,0.14368146657943726,0.32408127188682556,0.49621137976646423,probability_forecast_OT_96_32_LSTM-AQ_custom_ftMS_sl96_ll1_pl32_dm40_nh1_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-25 22-08-06,2021,probability_forecast,1,OT_96_32,custom,MS,OT,t,3,MinMaxScaler,0,0.9,False,96,1,32,Monthly,False,0.25,0.25,2,4,5,6,8,8,8,40,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,1,moving_avg,1,0,1,,48,12,50,7,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,2,20,99,2024-06-25 22-08-06
LSTM-AQ,exchange_rate/exchange_rate.csv,AA_attn_dhz_ap2_norm,0.11760096,0.3090347,,,,0.20916002988815308,0.41675832867622375,0.5080677270889282,probability_forecast_OT_96_32_LSTM-AQ_custom_ftMS_sl96_ll1_pl32_dm40_nh1_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-25 22-12-16,2021,probability_forecast,1,OT_96_32,custom,MS,OT,t,3,MinMaxScaler,0,0.9,False,96,1,32,Monthly,False,0.25,0.25,2,4,5,6,8,8,8,40,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,1,moving_avg,1,0,1,,48,12,50,7,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,2,20,99,2024-06-25 22-12-16
