model,data_path,custom_params,mse,mae,acc,smape,f_score,crps,mre,naps,picp,pinaw,cwc,setting,seed,task_name,is_training,model_id,data,features,target,freq,lag,scaler,reindex,reindex_tolerance,pin_memory,seq_len,label_len,pred_len,seasonal_patterns,inverse,mask_rate,anomaly_ratio,expand,d_conv,top_k,num_kernels,enc_in,dec_in,c_out,d_model,n_heads,e_layers,d_layers,d_ff,moving_avg,series_decomp_mode,factor,distil,dropout,embed,activation,output_attention,channel_independence,decomp_method,use_norm,down_sampling_layers,down_sampling_window,down_sampling_method,seg_len,num_workers,train_epochs,stop_epochs,batch_size,patience,learning_rate,des,loss,lradj,use_amp,use_gpu,gpu,use_multi_gpu,devices,p_hidden_dims,p_hidden_layers,use_dtw,augmentation_ratio,jitter,scaling,permutation,randompermutation,magwarp,timewarp,windowslice,windowwarp,rotation,spawner,dtwwarp,shapedtwwarp,wdba,discdtw,discsdtw,extra_tag,lstm_hidden_size,lstm_layers,num_spline,sample_times,run_time
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0013775433,0.02835854,,,,0.020508231595158577,0.09802807867527008,0.08057893067598343,,,,probability_forecast_OT_96_64_LSTM-AQ_custom_ftMS_sl96_ll0_pl64_dm24_nh1_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-05-07 00-23-35,2021,probability_forecast,1,OT_96_64,custom,MS,OT,t,3,MinMaxScaler,0,0.8,True,96,0,64,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,28,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-05-07 00-23-35
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0020902674,0.036015607,,,,0.02333405613899231,0.05975646898150444,0.10546647757291794,,,,probability_forecast_OT_96_64_LSTM-AQ_custom_ftMS_sl96_ll0_pl64_dm40_nh1_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-05-07 00-56-49,2021,probability_forecast,1,OT_96_64,custom,MS,OT,t,3,MinMaxScaler,0,0.8,True,96,0,64,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,40,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,13,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-05-07 00-56-49
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0017207095,0.032436296,,,,0.022952724248170853,0.09773734956979752,0.10512904822826385,,,,probability_forecast_OT_96_64_LSTM-AQ_custom_ftMS_sl96_ll0_pl64_dm64_nh1_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-05-07 01-16-27,2021,probability_forecast,1,OT_96_64,custom,MS,OT,t,3,MinMaxScaler,0,0.8,True,96,0,64,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,64,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,14,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-05-07 01-16-27
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.002321023,0.03691725,,,,0.025671593844890594,0.09245605021715164,0.08991937339305878,,,,probability_forecast_OT_96_64_LSTM-AQ_custom_ftMS_sl96_ll0_pl64_dm24_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-05-07 01-37-00,2021,probability_forecast,1,OT_96_64,custom,MS,OT,t,3,MinMaxScaler,0,0.8,True,96,0,64,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,19,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-05-07 01-37-00
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0011903053,0.026572123,,,,0.021617121994495392,0.14263947308063507,0.0831114873290062,,,,probability_forecast_OT_96_64_LSTM-AQ_custom_ftMS_sl96_ll0_pl64_dm40_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-05-07 02-02-08,2021,probability_forecast,1,OT_96_64,custom,MS,OT,t,3,MinMaxScaler,0,0.8,True,96,0,64,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,40,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,31,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-05-07 02-02-08
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.00240978,0.03939307,,,,0.023799585178494453,0.05211487039923668,0.11212734878063202,,,,probability_forecast_OT_96_64_LSTM-AQ_custom_ftMS_sl96_ll0_pl64_dm64_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-05-07 02-38-23,2021,probability_forecast,1,OT_96_64,custom,MS,OT,t,3,MinMaxScaler,0,0.8,True,96,0,64,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,64,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,10,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-05-07 02-38-23
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,nan,nan,,,,nan,0.5,nan,,,,probability_forecast_OT_96_64_LSTM-AQ_custom_ftMS_sl96_ll0_pl64_dm24_nh4_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-05-07 02-55-03,2021,probability_forecast,1,OT_96_64,custom,MS,OT,t,3,MinMaxScaler,0,0.8,True,96,0,64,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,4,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,1,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-05-07 02-55-03
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0020689513,0.036278732,,,,0.022039400413632393,0.060652896761894226,0.09347959607839584,,,,probability_forecast_OT_96_64_LSTM-AQ_custom_ftMS_sl96_ll0_pl64_dm40_nh4_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-05-07 03-03-08,2021,probability_forecast,1,OT_96_64,custom,MS,OT,t,3,MinMaxScaler,0,0.8,True,96,0,64,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,40,4,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,20,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-05-07 03-03-08
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0020512068,0.036391057,,,,0.02282782271504402,0.054692480713129044,0.09779533743858337,,,,probability_forecast_OT_96_64_LSTM-AQ_custom_ftMS_sl96_ll0_pl64_dm64_nh4_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-05-07 03-28-56,2021,probability_forecast,1,OT_96_64,custom,MS,OT,t,3,MinMaxScaler,0,0.8,True,96,0,64,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,64,4,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,16,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-05-07 03-28-56
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0019020622,0.034592755,,,,0.022834371775388718,0.07111028581857681,0.10081549733877182,,,,probability_forecast_OT_96_64_LSTM-AQ_custom_ftMS_sl96_ll0_pl64_dm24_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-05-07 03-51-16,2021,probability_forecast,1,OT_96_64,custom,MS,OT,t,3,MinMaxScaler,0,0.8,True,96,0,64,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,15,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-05-07 03-51-16
