model,data_path,custom_params,mse,mae,acc,smape,f_score,crps,mre,pinaw,setting,seed,task_name,is_training,model_id,data,features,target,freq,lag,scaler,reindex,reindex_tolerance,pin_memory,seq_len,label_len,pred_len,seasonal_patterns,inverse,mask_rate,anomaly_ratio,expand,d_conv,top_k,num_kernels,enc_in,dec_in,c_out,d_model,n_heads,e_layers,d_layers,d_ff,moving_avg,series_decomp_mode,factor,distil,dropout,embed,activation,output_attention,channel_independence,decomp_method,use_norm,down_sampling_layers,down_sampling_window,down_sampling_method,seg_len,num_workers,train_epochs,stop_epochs,batch_size,patience,learning_rate,des,loss,lradj,use_amp,use_gpu,gpu,use_multi_gpu,devices,p_hidden_dims,p_hidden_layers,use_dtw,augmentation_ratio,jitter,scaling,permutation,randompermutation,magwarp,timewarp,windowslice,windowwarp,rotation,spawner,dtwwarp,shapedtwwarp,wdba,discdtw,discsdtw,extra_tag,lstm_hidden_size,lstm_layers,num_spline,sample_times,run_time
LSTM-AQ,pvod/station00.csv,LA,0.0025366587,0.024342401,,,,0.01976628601551056,0.0562317818403244,0.08094306290149689,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll0_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-12 16-04-27,2021,probability_forecast,1,power_96_16,custom,MS,power,t,3,MinMaxScaler,0,0.9,,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-04-12 16-04-27
LSTM-AQ,pvod/station00.csv,AA,0.0022611585,0.022371937,,,,0.018798505887389183,0.05932944267988205,0.06618183106184006,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll0_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-12 16-14-53,2021,probability_forecast,1,power_96_16,custom,MS,power,t,3,MinMaxScaler,0,0.9,,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-04-12 16-14-53
LSTM-AQ,pvod/station00.csv,CC,0.0047190306,0.027485866,,,,0.023672960698604584,0.04460425674915314,0.0728764533996582,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll0_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-12 16-28-57,2021,probability_forecast,1,power_96_16,custom,MS,power,t,3,MinMaxScaler,0,0.9,,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-04-12 16-28-57
LSTM-AQ,pvod/station00.csv,AC,0.004351992,0.0277648,,,,0.024575332179665565,0.044915568083524704,0.07076841592788696,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll0_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-12 16-41-04,2021,probability_forecast,1,power_96_16,custom,MS,power,t,3,MinMaxScaler,0,0.9,,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-04-12 16-41-04
LSTM-AQ,pvod/station00.csv,HC,0.0053303656,0.030052245,,,,0.023937229067087173,0.053626250475645065,0.06329253315925598,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll0_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-12 16-51-20,2021,probability_forecast,1,power_96_16,custom,MS,power,t,3,MinMaxScaler,0,0.9,,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-04-12 16-51-20
LSTM-AQ,pvod/station00.csv,LC,0.0056057987,0.029625272,,,,0.02650253102183342,0.04714951291680336,0.08561132103204727,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll0_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-12 17-04-34,2021,probability_forecast,1,power_96_16,custom,MS,power,t,3,MinMaxScaler,0,0.9,,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-04-12 17-04-34
LSTM-AQ,pvod/station00.csv,HA,0.0024509963,0.021812048,,,,0.018715156242251396,0.055765923112630844,0.06999586522579193,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll0_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-12 17-14-21,2021,probability_forecast,1,power_96_16,custom,MS,power,t,3,MinMaxScaler,0,0.9,,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-04-12 17-14-21
LSTM-AQ,pvod/station00.csv,CA,0.0024085834,0.024151213,,,,0.019157569855451584,0.06021886691451073,0.07175824046134949,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll0_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-12 17-28-40,2021,probability_forecast,1,power_96_16,custom,MS,power,t,3,MinMaxScaler,0,0.9,,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-04-12 17-28-40
LSTM-AQ,pvod/station00.csv,LL,0.0077019124,0.0477861,,,,0.03103136643767357,0.0978311225771904,0.103603295981884,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll0_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-12 17-40-19,2021,probability_forecast,1,power_96_16,custom,MS,power,t,3,MinMaxScaler,0,0.9,,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-04-12 17-40-19
LSTM-AQ,pvod/station00.csv,HL,0.008461628,0.049977526,,,,0.032656509429216385,0.09891994297504425,0.13473272323608398,probability_forecast_OT_96_16_LSTM-AQ_custom_ftMS_sl96_ll0_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-04-12 17-55-28,2021,probability_forecast,1,power_96_16,custom,MS,power,t,3,MinMaxScaler,0,0.9,,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-04-12 17-55-28
