model,data_path,custom_params,mse,mae,acc,smape,f_score,crps,mre,pinaw,setting,seed,task_name,is_training,model_id,data,features,target,freq,lag,scaler,reindex,reindex_tolerance,pin_memory,seq_len,label_len,pred_len,seasonal_patterns,inverse,mask_rate,anomaly_ratio,expand,d_conv,top_k,num_kernels,enc_in,dec_in,c_out,d_model,n_heads,e_layers,d_layers,d_ff,moving_avg,series_decomp_mode,factor,distil,dropout,embed,activation,output_attention,channel_independence,decomp_method,use_norm,down_sampling_layers,down_sampling_window,down_sampling_method,seg_len,num_workers,train_epochs,stop_epochs,batch_size,patience,learning_rate,des,loss,lradj,use_amp,use_gpu,gpu,use_multi_gpu,devices,p_hidden_dims,p_hidden_layers,use_dtw,augmentation_ratio,jitter,scaling,permutation,randompermutation,magwarp,timewarp,windowslice,windowwarp,rotation,spawner,dtwwarp,shapedtwwarp,wdba,discdtw,discsdtw,extra_tag,lstm_hidden_size,lstm_layers,num_spline,sample_times,run_time
LSTM-ED-YJQR,electricity/electricity.csv,,nan,nan,,,,5.2042694091796875,0.38943642377853394,0.0,probability_forecast_OT_96_16_LSTM-YJQR_custom_ftMS_sl96_ll0_pl16_dm24_nh1_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-05-18 10-29-43,2021,probability_forecast,1,OT_96_16,custom,MS,OT,t,3,BoxCox,0,0.8,True,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,29,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,3,20,99,2024-05-18 10-29-43
LSTM-ED-YJQR,electricity/electricity.csv,,nan,nan,,,,11.103334426879883,0.4129105508327484,0.0,probability_forecast_OT_96_16_LSTM-ED-YJQR_custom_ftMS_sl96_ll0_pl16_dm24_nh1_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-05-27 16-51-40,2021,probability_forecast,1,OT_96_16,custom,MS,OT,t,3,BoxCox,0,0.8,True,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,5,5,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,3,20,99,2024-05-27 16-51-40
LSTM-YJQR,electricity/electricity.csv,,nan,nan,,,,0.4897398352622986,0.15686291456222534,nan,probability_forecast_OT_96_16_LSTM-YJQR_custom_ftMS_sl96_ll0_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-05-27 17-18-48,2021,probability_forecast,1,OT_96_16,custom,MS,OT,t,3,StandardScaler,0,0.8,True,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,5,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,2,20,99,2024-05-27 17-18-48
LSTM-YJQR,wind/Zone1/Zone1.csv,,nan,nan,,,,0.03632887825369835,0.09644246846437454,nan,probability_forecast_OT_96_16_LSTM-YJQR_custom_ftMS_sl96_ll0_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-05-27 17-58-28,2021,probability_forecast,1,OT_96_16,custom,MS,wind,t,3,BoxCox,0,0.9,True,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,5,5,5,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,35,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,2,20,99,2024-05-27 17-58-28
LSTM-ED-YJQR,wind/Zone1/Zone1.csv,,0.004726981,0.05615292,,,,0.04102211073040962,0.14844897389411926,0.08085358142852783,probability_forecast_OT_96_16_LSTM-ED-YJQR_custom_ftMS_sl96_ll0_pl16_dm24_nh1_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-05-27 23-03-17,2021,probability_forecast,1,OT_96_16,custom,MS,wind,t,3,BoxCox,0,0.9,True,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,5,5,5,24,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,5,5,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,3,20,99,2024-05-27 23-03-17
LSTM-YJQR,wind/Zone1/Zone1.csv,,nan,nan,,,,0.0346963070333004,0.07777491211891174,nan,probability_forecast_OT_96_16_LSTM-YJQR_custom_ftMS_sl96_ll0_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-05-27 23-22-53,2021,probability_forecast,1,OT_96_16,custom,MS,wind,t,3,BoxCox,0,0.9,True,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,5,5,5,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,30,30,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,2,20,99,2024-05-27 23-22-53
LSTM-ED-YJQR,wind/Zone1/Zone1.csv,,0.0035198964,0.04589124,,,,0.03062836080789566,0.09018396586179733,0.08346005529165268,probability_forecast_OT_96_16_LSTM-ED-YJQR_custom_ftMS_sl96_ll0_pl16_dm24_nh1_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-05-27 23-43-00,2021,probability_forecast,1,OT_96_16,custom,MS,wind,t,3,BoxCox,0,0.9,True,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,5,5,5,24,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,30,23,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,3,20,99,2024-05-27 23-43-00
QSQF-C,wind/Zone1/Zone1.csv,,0.0049991836,0.057216294,,,,0.03667910397052765,0.06768547743558884,0.19237439334392548,probability_forecast_OT_96_16_QSQF-C_custom_ftMS_sl96_ll0_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-05-28 08-09-22,2021,probability_forecast,1,OT_96_16,custom,MS,wind,t,3,BoxCox,0,0.9,True,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,5,5,5,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,50,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,2,20,99,2024-05-28 08-09-22
LSTM-YJQR,wind/Zone1/Zone1.csv,,nan,nan,,,,0.0346963070333004,0.07777491211891174,nan,probability_forecast_OT_96_16_LSTM-YJQR_custom_ftMS_sl96_ll0_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-05-28 08-55-32,2021,probability_forecast,1,OT_96_16,custom,MS,wind,t,3,BoxCox,0,0.9,True,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,5,5,5,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,30,30,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,2,20,99,2024-05-28 08-55-32
LSTM-YJQR,wind/Zone1/Zone1.csv,without_×10,nan,nan,,,,nan,0.22294645011425018,nan,probability_forecast_OT_96_16_LSTM-YJQR_custom_ftMS_sl96_ll0_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-05-28 18-40-21,2021,probability_forecast,1,OT_96_16,custom,MS,wind,t,3,BoxCox,0,0.9,True,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,5,5,5,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,12,30,30,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,2,20,99,2024-05-28 18-40-21
LSTM-YJQR,wind/Zone1/Zone1.csv,use_sigma_sigmoid,0.00331231,0.043172102,,,,0.03283902630209923,0.08453374356031418,0.08412091434001923,probability_forecast_OT_96_16_LSTM-YJQR_custom_ftMS_sl96_ll0_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-05-28 23-57-44,2021,probability_forecast,1,OT_96_16,custom,MS,wind,t,3,BoxCox,0,0.9,True,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,5,5,5,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,12,30,21,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,2,20,99,2024-05-28 23-57-44
